Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Type,"Reasoning for ""Population Type""",Intervention,Outcome Documentation,"Reasoning for ""Outcome Documentation""",Control Group,"Reasoning for ""Control Group""",Study Design,"Reasoning for ""Study Design""",Temporal Documentation,"Reasoning for ""Temporal Documentation""",subject size,"Reasoning for ""subject size""","Reasoning for ""Intervention""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Incidence of osteonecrosis of the jaw in patients receiving denosumab or zoledronic acid for bone metastases from solid tumors or multiple myeloma: Results from three phase III trials.,"A. Lipton, F. Saad, C. V. Van Poznak, Janet E Brown, A. Stopeck, K. Fizazi, D. Henry, N. Shore, I. Diel, K. Tonkin, R. De Boer, Huei Wang, A. Braun",10.1200/JCO.2013.31.15_SUPPL.9640,https://doi.org/10.1200/JCO.2013.31.15_SUPPL.9640,-,7,2013,no,"The study focuses on patients with metastatic bone disease (MBD) from solid tumors or multiple myeloma, not osteoporosis patients, which is another critical mismatch.",maybe,maybe,"While ONJ outcomes are reported (3.8-4.7% incidence), the specific dental procedures leading to ONJ are not detailed in the abstract.",yes,The study includes a control group comparing denosumab vs ZA.,yes,"These are phase 3 clinical trials, which are randomized controlled trials.",yes,The study documents temporal relationships and duration of treatment (approximately 5 years).,yes,"The study includes 5,677 patients, well above the 100-person minimum.","The abstract doesn't explicitly mention dental procedures. While ONJ is discussed, specific dental interventions are not detailed.",Exclude,"The study focuses on denosumab and zoledronic acid in cancer patients with metastatic bone disease, which critically differs from the required romosozumab intervention in osteoporosis patients. Despite meeting several methodological criteria like large sample size and robust study design, the fundamental mismatch in medication type and patient population necessitates exclusion from the systematic review.",0.1
Clinical significance of drug cessation on medication-related osteonecrosis of the jaw in patients with osteoporosis,"K. R. Mustakim, M. Eo, J. Lee, M. Seo, S. Kim",10.5125/jkaoms.2023.49.2.75,https://doi.org/10.5125/jkaoms.2023.49.2.75,Journal of the Korean Association of Oral and Maxillofacial Surgeons,4,2023,maybe,"The study focuses on osteoporosis patients, but doesn't explicitly state they are all adults (≥18 years) or confirm absence of cancer patients.",yes,yes,The study clearly documents MRONJ outcomes following surgical interventions.,yes,"The study compares BP suspension vs. non-suspension groups, effectively creating a control group.",yes,"While not explicitly stated, this appears to be a retrospective cohort study analyzing patients treated from 2012 to 2020.",yes,The study documents temporal relationships through follow-up periods and timing of BP suspension relative to surgery.,no,"The study only includes 24 patients, which is well below the required minimum of 100 subjects.","The study involves surgical interventions and mentions ""surgery"" multiple times, though specific procedures aren't detailed in the abstract.",Exclude,"The study fails key screening criteria by using bisphosphonates instead of Romosozumab and having a sample size of only 24 patients, which is significantly below the required 100 subjects. Despite meeting several other criteria like documenting MRONJ outcomes and including a control group, the fundamental mismatches in medication type and sample size render the study non-compliant with the specified screening requirements.",1.4
Quantitative proteomics in medication-related osteonecrosis of the jaw: a proof-of-concept study.,"A. Lorenzo-Pouso, S. Bravo, Javier Carballo, María del Pilar Chantada-Vázquez, J. Bagan, L. Bagán, C. Chamorro-Petronacci, Mercedes Conde-Amboage, R. López-López, A. García-García, M. Pérez‐Sayáns",10.1111/odi.14201,https://doi.org/10.1111/odi.14201,Oral Diseases,10,2022,maybe,"The abstract does not provide explicit information about the age or osteoporosis diagnosis of the subjects, nor does it mention their cancer status, so there is insufficient information to determine if the population type meets the criterion.",no,no,"While the study examines MRONJ, there is no documentation of specific dental procedures, as the focus is on biomarkers rather than procedure outcomes.",yes,"The study includes both BMA consumers and healthy controls, which meets the criterion of having a control group of non-anti-resorptive medication users.",yes,"The study is explicitly stated as a case-control study, which meets the criterion of having a study design that is either a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",no,"The abstract does not mention the temporal relationship between medication use and MRONJ development or the duration of medication use, so there is no documentation of this information.",no,"The study includes only 38 samples total (18 MRONJ patients, 10 BMA consumers, 10 controls), which is less than the required 100 subjects.","There is no mention of dental procedures or interventions in the study, as it focuses on salivary proteome analysis rather than invasive dental treatment.",Exclude,"The study fails to meet multiple critical screening criteria, including specific intervention type, sample size, and dental procedure documentation. While the research explores medication-related osteonecrosis of the jaw through a case-control design, it lacks the precise focus on Romosozumab, dental interventions, and comprehensive outcome tracking required by the systematic review protocol. The biomarker-focused study does not align with the core requirements of the screening criteria.",1.4
Medication‐related osteonecrosis of the jaw and successful implant treatment in a patient on high‐dose antiresorptive medication: A case report,"C. Ottesen, S. W. M. Andersen, S. S. Jensen, T. Kofod, K. Gotfredsen",10.1002/cre2.620,https://doi.org/10.1002/cre2.620,Clinical and Experimental Dental Research,7,2022,no,"The abstract specifically mentions ""patient with cancer"", which explicitly violates the criterion requiring non-cancer patients.",yes,maybe,"The abstract mentions MRONJ outcomes following dental procedures, but as a case report, the documentation may be limited.",no,"As a case report, there is no control group mentioned.",no,"This is a case report, which is not one of the accepted study designs (RCT, cohort, or case-control).",maybe,The abstract does not clearly document the temporal relationship or duration of medication use.,no,"This is a case report, which by definition involves a single patient, clearly failing the requirement for a subject size of more than 100 people.","The abstract mentions dental implant treatment, which qualifies as invasive dental treatment.",Exclude,"The case report fails multiple critical screening criteria, including using an unspecified antiresorptive medication, involving a single patient with cancer, and lacking a control group. These fundamental deviations from the required study parameters render the paper ineligible for inclusion, particularly given the strict requirements for medication type, population characteristics, and study design.",0.1
Anti-angiogenic drug aggravates the degree of anti-resorptive drug-based medication-related osteonecrosis of the jaw by impairing the proliferation and migration function of gingival fibroblasts,"Ningrui Zhao, Qingxiang Li, Yifei Wang, Qiao Qiao, Hongyuan Huang, C. Guo, Y. Guo",10.1186/s12903-023-03034-7,https://doi.org/10.1186/s12903-023-03034-7,BMC Oral Health,9,2023,no,"The study specifically focuses on cancer patients, which is explicitly excluded in the screening criteria.",yes,yes,The study clearly documents MRONJ outcomes following tooth extraction procedures.,yes,"The study includes control groups, comparing different drug regimens and including a control group in the mouse model.",yes,"While not explicitly stated, the study appears to be a prospective cohort study with experimental components.",maybe,"While the study documents the relationship between medication use and MRONJ, the duration of medication use is not clearly specified in the abstract.",maybe,"The abstract does not specify the total number of human subjects, so the subject size is unclear.","The study includes tooth extraction as an intervention, which meets this criterion.",Exclude,"The study fails key screening criteria by focusing on zoledronate instead of romosozumab and examining cancer patients rather than non-cancer osteoporosis patients. Despite meeting some criteria like invasive dental treatment and outcome documentation, the fundamental misalignment with core inclusion requirements necessitates exclusion from the systematic review.",0.1
Latest findings of treatment and prevention of medication-related osteonecrosis of the jaw : Results of multicenter clinical trials,M. Umeda,10.5794/jjoms.66.52,https://doi.org/10.5794/jjoms.66.52,Japanese Journal of Oral & Maxillofacial Surgery,0,2020,maybe,"The abstract does not specify the age range or whether patients have cancer, so the information about the population type is unclear.",yes,yes,"The abstract discusses MRONJ outcomes following dental procedures, particularly focusing on surgical treatment and tooth extraction, meeting this criterion.",no,The abstract does not mention any control group of non-anti-resorptive medication users.,maybe,"While the abstract mentions ""multicenter clinical trials,"" the specific study design is not clearly stated.",maybe,"The abstract discusses the relationship between medication use and MRONJ, including drug holidays, but the specific duration of medication use is not clearly documented.",maybe,"The abstract mentions ""multicenter clinical trials"" but does not specify the number of subjects, so the information about the subject size is unclear.","The abstract discusses tooth extraction and other dental treatments, meeting this criterion.",Include,"The abstract discusses medication-related osteonecrosis of the jaw treatment but lacks specificity regarding key screening criteria, particularly the use of Romosozumab. Critical information about subject size, population characteristics, control group, and study design is missing or unclear. While the text provides insights into MRONJ management, it does not comprehensively meet the predefined screening requirements.",2.5
Medication‐related to osteonecrosis of the jaw affect dental implant success? A systematic review,"M. D. P. R. Sanchez, Lamis Meorin Nogueira, R. M. Pinheiro, M. Haddad, Diana Lucia Bettin Yanez, Francy Osorio, J. Gale",10.1111/clr.478_13509,https://doi.org/10.1111/clr.478_13509,Clinical Oral Implants Research,0,2019,maybe,The abstract doesn't explicitly specify the age of patients or whether they have osteoporosis. It only mentions patients receiving antiresorptive medications.,yes,yes,The study clearly documents MRONJ outcomes following dental implant procedures.,maybe,The abstract doesn't mention whether the included studies had control groups of non-anti-resorptive medication users.,no,"This is a systematic review, not a primary research study of the specified designs (RCT, cohort, or case-control).",maybe,"The abstract mentions a mean interval of 42 months between implant placement and MRONJ development, but doesn't clearly document the duration of medication use.",maybe,"The abstract mentions 106 cases of osteonecrosis across 8 studies, but this is a meta-analysis rather than a single study with >100 subjects.","The study specifically focuses on dental implants, which is one of the specified invasive dental treatments.",Exclude,"The systematic review focuses on bisphosphonates and dental implants, which fundamentally differs from the specified screening criteria involving Romosozumab. Critical misalignments include the wrong medication type, study design, and unclear population characteristics, rendering the paper unsuitable for inclusion in the systematic review. Multiple screening criteria were not met, particularly the core requirement of studying Romosozumab in osteoporosis patients.",1.4
THE ROLE OF CONSERVATIVE MANAGEMENT IN PATIENTS WITH MEDICATION-RELATED OSTEONECROSIS OF JAW: A MEMORIAL SLOAN KETTERING CANCER CENTER EXPERIENCE,"A. Pischek, Annu Singh, D. Shem, J. Randazzo, S. Yom, J. Huryn, C. Estilo",10.1016/j.oooo.2021.08.051,https://doi.org/10.1016/j.oooo.2021.08.051,"Oral surgery, oral medicine, oral pathology and oral radiology",0,2022,no,"The study specifically focuses on oncologic patients (breast cancer, multiple myeloma), which violates the criterion of excluding cancer patients.",maybe,maybe,"While MRONJ outcomes are documented, the specific dental procedures leading to MRONJ are not clearly detailed in the abstract.",no,No control group of non-anti-resorptive medication users is mentioned.,yes,"This is a retrospective cohort study, which meets the criteria for study design.",yes,"The study clearly documents temporal relationships, including median time to MRONJ onset (28 months) and duration of medication use.",yes,"The study includes 110 patients, which exceeds the minimum requirement of 100 subjects.","While the study discusses MRONJ, it doesn't explicitly state whether the cases were triggered by dental procedures. The abstract mentions ""spontaneous MRONJ"" in 47% of cases, so the documentation of invasive dental treatment is unclear.",Exclude,"The study fails key screening criteria by focusing on cancer patients using pamidronate, zoledronic acid, and denosumab instead of Romosozumab, and lacks a control group of non-anti-resorptive medication users. While the study meets some criteria like subject size and study design, critical disqualifying factors prevent its inclusion in the systematic review. The absence of clear documentation of dental interventions and the focus on oncologic patients further support exclusion.",0.1
Prognosis of Medication-Related Osteonecrosis of the Jaw with Surgical Treatment,"E. Kobayashi, Haruka Takahashi, Kensuke Igarashi, Hiroki Katagiri, M. Haga-Tsujimura, I. Ogura, K. Nakahara, A. Tanaka",10.2485/jhtb.31.39,https://doi.org/10.2485/jhtb.31.39,Journal of Hard Tissue Biology,0,2022,no,"The study includes both osteoporosis patients (40) and cancer patients (46), and does not focus exclusively on adult osteoporosis patients without cancer, which violates this criterion.",maybe,maybe,"The study reports MRONJ outcomes following surgical treatment, but it does not specify the dental procedures that led to MRONJ.",no,There is no mention of a control group of non-anti-resorptive medication users.,yes,"The study is described as a retrospective study, which meets the criterion for acceptable study designs.",no,"There is no clear documentation of the temporal relationship between medication use and MRONJ, and the duration of medication use is not mentioned.",yes,"The study includes 86 patients (40 osteoporosis + 46 cancer), which meets the minimum requirement of more than 100 subjects.","The study focuses on surgical treatment of MRONJ, but it does not specify the dental procedures that led to MRONJ.",Exclude,"The study fails to meet several critical screening criteria, including the specific use of Romosozumab, exclusive focus on adult osteoporosis patients, and presence of a control group. While the study includes a sufficient sample size and uses an acceptable retrospective design, significant methodological limitations prevent it from satisfying the comprehensive screening requirements. The mixed patient population and lack of detailed temporal documentation further compromise its alignment with the specified criteria.",1.4
Prediction of medication-related osteonecrosis of the jaws using machine learning methods from estrogen receptor 1 polymorphisms and clinical information,"Seo-Yong Choi, Jin-Woo Kim, Sang-Hyeon Oh, Seung-min Cheon, Jeong Yee, Sun-Jong Kim, H. Gwak, J. Chung",10.3389/fmed.2023.1140620,https://doi.org/10.3389/fmed.2023.1140620,Frontiers in Medicine,2,2023,maybe,"The study focuses on women with osteoporosis, and there's no mention of cancer patients. However, the age range isn't fully specified, though it mentions age ≥72 as a risk factor.",no,no,"While MRONJ outcomes are documented, the specific dental procedures leading to these outcomes aren't detailed in the abstract.",no,The abstract doesn't mention a control group of non-anti-resorptive medication users. The study appears to only include bisphosphonate users.,no,"While this appears to be an observational study, the specific design (whether prospective/retrospective cohort or case-control) isn't explicitly stated.",maybe,"The study mentions treatment duration (≥48 months) as a risk factor, but the temporal relationship between medication use and MRONJ development isn't clearly documented in the abstract.",yes,"The study includes 125 patients, which exceeds the minimum requirement of 100.","The abstract doesn't explicitly mention specific dental procedures, and while MRONJ is discussed, the specific dental interventions leading to it are not detailed.",Exclude,"The study focuses on bisphosphonates in osteoporotic women, which fundamentally differs from the specified Romosozumab intervention, rendering it non-compliant with the primary screening criterion. While the research meets some secondary requirements like sample size, critical methodological elements such as control group composition and specific dental procedure documentation remain unclear. The medication type mismatch represents a decisive exclusion factor from the intended screening parameters.",1.4
Antiresorptive medication in oncology: the clinical and dental profile of patients in a reference center,"V. C. Ferreira, A. Kemp, J. Vendruscolo, L. Sassi, J. Schussel",10.5125/jkaoms.2021.47.1.20,https://doi.org/10.5125/jkaoms.2021.47.1.20,Journal of the Korean Association of Oral and Maxillofacial Surgeons,0,2021,no,"The study focuses on cancer patients, which explicitly violates the criterion requiring non-cancer patients.",maybe,maybe,"The study reports MRONJ outcomes (9 patients developed osteonecrosis), but doesn't clearly document specific dental procedures leading to MRONJ.",no,No mention of a control group of non-anti-resorptive medication users.,no,"The study is described as an ""observational cross-sectional study"", which does not meet the required study design types.",no,"No clear documentation of temporal relationship between medication use and MRONJ, and no mention of duration of medication use.",no,"The study includes 90 patients, which is below the required 100.","While dental procedures are mentioned, the abstract doesn't clearly specify which invasive dental treatments were performed.",Exclude,"The study fails critical screening criteria by focusing on cancer patients using zoledronic acid instead of Romosozumab, with a sample size below 100 and an inappropriate study design. Multiple key requirements are not met, including population type, intervention specifics, and control group composition, rendering the study unsuitable for the systematic review.",0.1
Pathological events in 55 patients with advanced Medications-related osteonecrosis of the Jaws (MRONJ),"A. Pizzo, M. Frontera, G. Ghidini, M. Meleti, M. Manfredi, P. Vescovi",10.3389/conf.fphys.2019.27.00060,https://doi.org/10.3389/conf.fphys.2019.27.00060,Frontiers in Physiology,0,2019,maybe,"The study includes both oncological (76%) and non-oncological (24%) patients, and the age range is 35-87 years (adults). This partially meets the criterion of focusing exclusively on adult patients (≥18 years) with diagnosed osteoporosis who do not have cancer.",yes,yes,"The study clearly documents MRONJ outcomes following specific dental procedures, meeting this criterion.",no,"There is no mention of a control group in the study, indicating that it fails this criterion.",yes,"The study is described as a ""retrospective study"", which meets the criterion of having a study design that is either a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",maybe,"While the study documents the time period of the study (2004-2017), it does not clearly document the temporal relationship between medication use and MRONJ development, partially meeting this criterion.",no,"The study includes 55 patients, which is below the required 100 subjects.","The study mentions various dental procedures including extractions, implants, and prosthetic treatments, indicating that it meets the criterion of having an intervention of invasive dental treatment.",Exclude,"The study fails critical screening criteria, particularly the requirement for Romosozumab intervention, with a sample size of only 55 patients and inclusion of cancer patients. While documenting dental procedures and MRONJ outcomes, the research lacks a control group and does not meet the specified population and intervention requirements. Multiple methodological limitations significantly reduce the study's alignment with the predefined screening criteria.",1.4
Characteristics of patients with osteonecrosis of the jaw with oral versus intravenous bisphosphonate treatment,"Seung-hun Lee, So-Young Choi, M. Bae, T. Kwon",10.1186/s40902-021-00310-w,https://doi.org/10.1186/s40902-021-00310-w,Maxillofacial plastic and reconstructive surgery,4,2021,maybe,"The study includes both osteoporosis patients and cancer patients. The abstract specifically mentions both groups and even compares them, which doesn't meet the criterion of focusing exclusively on non-cancer patients with osteoporosis.",maybe,yes,The study clearly documents MRONJ outcomes and mentions surgical treatments.,no,The abstract doesn't mention any control group of non-anti-resorptive medication users. The comparison is between oral and IV BP groups.,yes,"It's described as a retrospective study, which meets the criteria for acceptable study designs.",yes,The study documents duration of medication use (31.4 months for IV BP vs 53.1 months for oral BP) and appears to track temporal relationships.,yes,"The study includes 278 patients, well above the 100-person minimum requirement.","While the study discusses MRONJ, it doesn't explicitly state which dental procedures were performed. However, it mentions ""number of surgeries"" suggesting some dental interventions were involved.",Exclude,"The study fails key screening criteria by focusing on bisphosphonates instead of Romosozumab and including cancer patients alongside osteoporosis patients. While the study meets some methodological requirements like sample size and study design, critical exclusion criteria related to medication type and population specificity prevent its inclusion in the systematic review.",1.4
Risk reduction strategies for patients at risk of medication-related osteonecrosis of the jaws undergoing dental extractions: a systematic review,"T. Halai, R. Sacco, V. Mercadante, J. Eyeson, S. Fedele",10.37766/inplasy2021.6.0064,https://doi.org/10.37766/inplasy2021.6.0064,-,0,2021,no,"Elicit was unable to determine if the study focused exclusively on adult patients (≥18 years) with diagnosed osteoporosis who did not have cancer, as the provided abstract did not contain any information about the study population.",no,no,"Elicit was unable to assess whether the study reported MRONJ outcomes following specific, documented dental procedures, as the provided abstract did not contain any information about the outcomes measured.",no,"Elicit was unable to assess whether the study included a control group of non-anti-resorptive medication users, as the provided abstract did not contain any information about the study design or control group.",no,"Elicit was unable to determine the study design, as the provided abstract did not contain any information about the study methodology.",no,"Elicit was unable to determine if the study clearly documented both the temporal relationship between medication use and MRONJ development and the duration of medication use, as the provided abstract did not contain any information about the temporal aspects of the study.",no,"Elicit was unable to determine if the study had a subject size of more than 100 people, as the provided abstract did not contain any information about the sample size.","Elicit was unable to assess whether the subjects had an intervention of invasive dental treatment, including tooth extraction, implant placement, periodontal surgery, other dental surgery, or removable prosthesis fabrication, as the provided abstract did not contain any information about the intervention.",Exclude,"No substantive information is available to assess the screening criteria, as only a ""Review question"" text exists without any actual abstract content. Without details about study population, intervention, design, or outcomes, it is impossible to determine compliance with the specified screening requirements.",0.1
Comparison of the Effect of Oral Versus Intravenous Bisphosphonate Administration on Osteoclastogenesis in Advanced-Stage Medication-Related Osteonecrosis of the Jaw Patients,"Hye-Won Kim, Min-woo Lee, Jung-Hwan Lee, M. Kim",10.3390/jcm10132988,https://doi.org/10.3390/jcm10132988,Journal of Clinical Medicine,2,2021,maybe,"The study mentions osteoporosis patients and specifically excludes cancer patients, but doesn't explicitly state all subjects are ≥18 years.",maybe,maybe,"While MRONJ outcomes are documented, it's not clear if these are following specific dental procedures as required.",no,The study compares two groups of BP users (oral vs. IV) but doesn't include a control group of non-anti-resorptive medication users.,yes,"The study is described as a retrospective study, which meets the criteria for acceptable study designs.",maybe,The abstract doesn't clearly document the temporal relationship between medication use and MRONJ development or the duration of medication use.,no,"The study only includes 20 subjects total (10 oral BP and 10 IV BP), which is well below the required 100+ subjects.","While the study involves patients who underwent surgery for MRONJ treatment, it's not clear if this was the initial dental intervention or just the treatment of existing MRONJ.",Exclude,"The study fails key screening criteria by using bisphosphonates instead of Romosozumab, having a sample size of only 20 patients, and lacking a control group of non-medication users. Critical methodological limitations include insufficient subject numbers, wrong medication type, and unclear documentation of dental procedures and temporal relationships. These fundamental deviations from the specified screening requirements render the study unsuitable for inclusion in the systematic review.",0.1
Potential role of comprehensive dental care in preventing medication related osteonecrosis of the jaw (MRONJ): a single centre study,"Kamila Alblazi, Syed Nabil, Nor Rafeah Tumian, S. S. M. Yunus, R. Ramli",10.1186/s12903-024-05081-0,https://doi.org/10.1186/s12903-024-05081-0,BMC Oral Health,0,2024,maybe,"There is no specific mention of age groups or osteoporosis diagnosis, and no mention of cancer exclusion, so it is uncertain whether the study focuses exclusively on adult patients (≥18 years) with diagnosed osteoporosis who do not have cancer.",maybe,maybe,"The abstract mentions MRONJ outcomes and dental procedures, which partially meets the criterion of reporting MRONJ outcomes following specific, documented dental procedures, but the details are limited.",maybe,"There is no mention of control groups, so it is uncertain whether the study includes a control group of non-anti-resorptive medication users.",maybe,"The study design is not explicitly stated, and it appears to be an observational study, but this cannot be confirmed, so it is uncertain whether the study design is a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",maybe,"There is no clear documentation of the temporal relationship between medication use and MRONJ development, or the duration of medication use, so it is uncertain whether the study clearly documents these aspects.",maybe,"No information is provided about the sample size, so it cannot be determined if the study meets the requirement of having more than 100 subjects.","The abstract mentions dental extraction and ""comprehensive dental care"", which partially meets the criterion of having an intervention of invasive dental treatment, but the details are limited.",Exclude,"The abstract lacks specificity regarding Romosozumab, failing a critical screening criterion, and provides insufficient details about study design, population characteristics, and intervention specifics. Multiple key screening requirements remain unaddressed or uncertain, significantly reducing the likelihood of study inclusion. The broad focus on antiresorptive drugs and dental care prevents a clear alignment with the targeted research parameters.",1.4
Inhibition of HMGB1/RAGE Signaling Reduces the Incidence of Medication‐Related Osteonecrosis of the Jaw (MRONJ) in Mice,"I. Gkouveris, D. Hadaya, Naseim Elzakra, A. Soundia, O. Bezouglaia, S. Dry, F. Pirih, T. Aghaloo, S. Tetradis",10.1002/jbmr.4637,https://doi.org/10.1002/jbmr.4637,Journal of Bone and Mineral Research,7,2022,no,"The study is conducted in mice, not adult human patients, and there is no mention of an osteoporosis diagnosis.",no,no,"The study documents MRONJ outcomes, but these are in an experimental model, not clinical procedures.",yes,The study includes a vehicle (control) group.,no,"This is an experimental animal study, which does not match the required study designs (RCT, cohort, or case-control).",no,"The study documents the temporal relationship (1, 2, and 4 weeks), but this is in an experimental model, not a clinical context.",no,"The study is conducted in mice, not humans, and there is no mention of the sample size.","The study uses ""ligature-induced experimental periodontitis"", which is an experimental model rather than actual clinical dental procedures.",Exclude,"This mouse model study investigating molecular mechanisms of medication-related osteonecrosis fails to meet multiple critical screening criteria, including the use of romosozumab, human subject population, and clinical dental intervention. The experimental design fundamentally differs from the required clinical research parameters, rendering it unsuitable for the systematic review.",0.1
A Study of Oral Health Parameters and the Properties and Composition of Saliva in Oncological Patients with and without Medication-Related Osteonecrosis of the Jaw Who Take Bisphosphonates,"Hanna Sobczak-Jaskow, B. Kochańska, B. Drogoszewska",10.3390/medicina59061073,https://doi.org/10.3390/medicina59061073,Medicina,4,2023,no,"The study specifically focuses on oncological patients, which is explicitly excluded in the criteria (must NOT have cancer).",no,maybe,"While MRONJ outcomes are documented, the abstract doesn't clearly indicate that these were specifically following documented dental procedures.",yes,The study includes a control group of 32 persons without oncological history and without antiresorptive therapy.,yes,"The study is described as a retrospective case-control study, which meets the criteria.",maybe,"The study mentions cumulative BP dose and its relationship to MRONJ, but doesn't clearly document the temporal relationship between medication use and MRONJ development.",no,"The study includes 49 patients total (29 with MRONJ + 20 without), plus 32 controls, which is below the required 100 subjects.","While the study examines oral cavity status and includes dental parameters, it doesn't explicitly state that subjects underwent invasive dental treatments. The focus seems to be on examining existing oral conditions rather than tracking outcomes of specific dental procedures.",Exclude,"The study fails key screening criteria by focusing on bisphosphonates instead of Romosozumab, including oncological patients, and having a sample size below 100 participants. Critical methodological misalignments with the specified inclusion criteria render this research ineligible for the systematic review. Multiple fundamental screening requirements were not met, necessitating exclusion from further analysis.",0.1
The role of interdisciplinary cooperation in the prevention of medication-related osteonecrosis of the jaw (MRONJ),"Monika Teślak, Izabela Chlebus, Iwona Ordyniec-Kwaśnica",10.31373/ejtcm/120581,https://doi.org/10.31373/ejtcm/120581,-,0,2020,maybe,"The abstract does not provide any clear indication of the patient age or osteoporosis diagnosis, nor does it mention the cancer status of the patients.",no,no,The abstract mentions osteonecrosis of the jaw but does not specify the documentation of outcomes following specific dental procedures.,no,The abstract does not mention the inclusion of a control group of non-anti-resorptive medication users.,no,"The abstract indicates that the study appears to be a case series, which does not meet the required study design criteria of a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",no,"The abstract does not provide any clear documentation of the temporal relationship between medication use and MRONJ development, nor the duration of medication use.",no,"The abstract only mentions a case series of 36 patients, which is less than the required subject size of more than 100 people.","The abstract does not provide any specific mention of invasive dental treatments, only referring to ""surgical treatment"" in general terms.",Exclude,"The abstract fails to meet multiple critical screening criteria, including the specific medication requirement, subject size, and study design. Key deficiencies include discussing bisphosphonates instead of Romosozumab, presenting a small case series of 36 patients, and lacking clear documentation of dental interventions, control groups, and temporal relationships. These fundamental shortcomings render the study ineligible for the systematic review.",0.1
Impact of Antiresorptive Agents on Maxillary Bones: a Narrative Literature Review,"Maria Luiza da Silva Matos, Pedro Henrique Bastos de OIiveira, A. Sanches, Tila Fortuna Costa Freire, J. Dantas, M. Carrera",10.17921/2447-8938.2021v23n4p268-276,https://doi.org/10.17921/2447-8938.2021v23n4p268-276,Journal of Health Science,0,2021,maybe,"The paper mentions patients with bone metastases and hormonal deficiency, but does not specify age groups or exclude cancer patients. Therefore, it is unclear whether the study meets the criterion of focusing exclusively on adult patients (≥18 years) with diagnosed osteoporosis who do not have cancer.",maybe,no,"The paper discusses MRONJ outcomes in general, but does not report specific outcomes from documented procedures. Therefore, it fails to meet the criterion of reporting MRONJ outcomes following specific, documented dental procedures (extractions, periodontal surgery, implants, or prosthetic treatments).",no,"As a narrative review, the paper does not include a control group of non-anti-resorptive medication users. Therefore, it fails to meet this criterion.",no,"The paper is a narrative literature review, and not a randomized controlled trial, prospective/retrospective cohort study, or case-control study. Therefore, it fails to meet the criterion of having a study design that is either a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",no,"The paper does not document the temporal relationship between medication use and MRONJ development, or the duration of medication use. Therefore, it fails to meet the criterion of clearly documenting both the temporal relationship between medication use and MRONJ development, and the duration of medication use.",maybe,"The paper is a narrative literature review of 33 studies, and no specific subject size is mentioned. Therefore, it is unclear whether the study meets the criterion of having a subject size of more than 100 people.","The paper discusses dental procedures and MRONJ in general, and mentions conservative, surgical, and adjuvant therapy. Therefore, it partially meets the criterion of having an intervention of invasive dental treatment, including tooth extraction, implant placement, periodontal surgery, other dental surgery, or removable prosthesis fabrication.",Exclude,"This narrative literature review fails to meet multiple critical screening criteria, including specific intervention requirements, study design, and outcome documentation. The paper discusses anti-resorptive drugs and MRONJ in general, but lacks the precise methodological and population specifications needed for systematic review inclusion. Consequently, the study does not qualify for further analysis under the established screening criteria.",0.1
"Medication-Related Osteonecrosis of the Jaw: A Cross-Sectional Survey among Urologists in Switzerland, Germany, and Austria","Salvatore Calderaro, K. Bausch, Céline Tourbier, C. Wetterauer, F. Thieringer, B. Berg",10.3390/jcm12020638,https://doi.org/10.3390/jcm12020638,Journal of Clinical Medicine,3,2023,no,"The study focuses on urologists treating cancer patients (prostate cancer), which does not meet the criterion of focusing exclusively on adult patients with diagnosed osteoporosis who do not have cancer.",no,no,"While MRONJ is discussed, this is not a study documenting specific outcomes following dental procedures. Therefore, the study does not meet the criterion of reporting MRONJ outcomes following specific, documented dental procedures.",no,"No control group is mentioned in the abstract, so the study does not meet the criterion of including a control group of non-anti-resorptive medication users.",no,"This is a postal survey study of urologists, which does not match the required study designs of randomized controlled trials, prospective/retrospective cohort studies, or case-control studies.",no,"The abstract does not provide any information on the temporal relationship between medication use and MRONJ development or the duration of medication use. Therefore, the study does not meet the criterion of clearly documenting both the temporal relationship and the duration of medication use.",maybe,"The study surveyed 176 urologists, but this is not the patient population size. The abstract does not provide information on the actual patient numbers, so it is unclear whether the study meets the criterion of having a subject size of more than 100 people.","While dental procedures are mentioned, this is a survey of urologists about their practices, not a study directly examining invasive dental treatments. Therefore, the study does not meet the criterion of having an intervention of invasive dental treatment.",Exclude,"This study fails to meet multiple critical screening criteria, including the specific intervention of Romosozumab, patient population type, and required study design. The research is a survey of urologists about medication-related osteonecrosis of the jaw, focusing on cancer patients, which fundamentally differs from the targeted research parameters. Consequently, the abstract does not qualify for inclusion based on the predefined screening requirements.",0.1
