Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population - Age and Diagnosis,"Reasoning for ""Population - Age and Diagnosis""",Population - Cancer Status,"Reasoning for ""Population - Cancer Status""",Intervention,"Reasoning for ""Intervention""",Control Group,"Reasoning for ""Control Group""",Dental Procedures,"Reasoning for ""Dental Procedures""",MRONJ Definition,"Reasoning for ""MRONJ Definition""",Study Design,"Reasoning for ""Study Design""",Subject Size,"Reasoning for ""Subject Size""",follow up period,"Reasoning for ""follow up period""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Medication-Related Osteonecrosis of the Jaw Around Dental Implants: Implant Surgery-Triggered or Implant Presence-Triggered Osteonecrosis?,"I. Giovannacci, M. Meleti, M. Manfredi, C. Mortellaro, A. Greco Lucchina, M. Bonanini, P. Vescovi",10.1097/SCS.0000000000002564,https://doi.org/10.1097/SCS.0000000000002564,The Journal of craniofacial surgery (Print),58,2016,no,"The study includes patients with both osteoporosis and cancer diagnoses, not exclusively osteoporosis patients.",no,"The study explicitly includes patients with cancer (breast cancer and other malignancies), violating this criterion.",no,"While the study includes patients on bisphosphonates, it's not exclusively focused on parenterally-administered bisphosphonates for osteoporosis. Group 1 includes 1 patient with IV BPs for breast cancer, and Group 2 includes 8 patients with IV BPs for malignant disease.",no,The abstract doesn't mention a control group of patients not receiving anti-resorptive medications.,yes,"The study specifically focuses on dental implant placement and clearly documents this as the primary procedure, meeting the requirement for reporting MRONJ incidence following documented invasive dental procedures.",maybe,"While MRONJ is discussed, the abstract doesn't explicitly state whether established diagnostic criteria were used.",maybe,"The study design is not explicitly stated in the abstract. It appears to be a retrospective case series, but this doesn't clearly fit into the required study design categories.",no,"The study only includes 15 patients with MRONJ out of 250 total patients (6%), which falls well below the required 100 patient minimum.",yes,"The study includes follow-up periods ranging from 2-10 months for Group 1 and 1-15 years for Group 2, exceeding the 6-month requirement.",Exclude,"The study fails to meet multiple critical screening criteria, including insufficient patient sample size, inclusion of cancer patients, and lack of a clear control group. While examining dental implant-related MRONJ, the research does not exclusively focus on parenteral bisphosphonates for osteoporosis treatment, and the study design does not align with the required methodological standards. These significant deviations from the screening requirements render the study unsuitable for inclusion.",1.4
Tooth extractions in patients with cancer receiving high-dose antiresorptive medication: a randomized clinical feasibility trial of drug holiday versus drug continuation.,"C. Ottesen, M. Schiødt, S. S. Jensen, T. Kofod, K. Gotfredsen",10.1016/j.oooo.2021.06.003,https://doi.org/10.1016/j.oooo.2021.06.003,"Oral surgery, oral medicine, oral pathology and oral radiology",33,2021,no,"The study population consists of cancer patients, not patients with primary osteoporosis diagnosis. This is a critical mismatch with the inclusion criteria.",no,"The study explicitly focuses on patients with cancer, which directly contradicts this criterion requiring cancer-free participants.",no,"The study examines high-dose antiresorptive medications (AR) in cancer patients, not parenterally-administered bisphosphonates for osteoporosis treatment. While bisphosphonates are included, they are used in cancer patients.",no,"The study compares drug holiday vs. drug continuation groups, but does not include a control group of patients not receiving anti-resorptive medications.",yes,"The study specifically focuses on surgical tooth extraction, which is one of the listed invasive dental procedures. This is clearly documented in the abstract.",yes,"While the exact diagnostic criteria aren't explicitly stated in the abstract, MRONJ is clearly defined as a key outcome measure and the study references established position papers and guidelines.",yes,"This is a randomized controlled trial, which meets the study design criteria.",no,"The study only included 23 patients, which falls well below the required minimum of 100 patients.",yes,"The study includes follow-up at 1, 3, and 6 months postoperatively, meeting the minimum 6-month requirement.",Exclude,"The study fails to meet multiple critical screening criteria, including insufficient sample size (23 patients vs. required 100), incorrect patient population (cancer patients instead of osteoporosis patients), and lack of a control group. While the research design includes a randomized controlled trial with appropriate follow-up periods, the fundamental population and intervention characteristics disqualify it from meeting the systematic review's inclusion requirements.",0.1
Osteonecrosis of jaw beyond antiresorptive (bone-targeted) agents: new horizons in oncology,"V. Fusco, D. Santini, G. Armento, G. Tonini, G. Campisi",10.1080/14740338.2016.1177021,https://doi.org/10.1080/14740338.2016.1177021,Expert Opinion on Drug Safety,78,2016,no,"The abstract specifically mentions cancer patients, which contradicts our inclusion criteria requiring patients free from cancer. It also doesn't specify age groups.",no,"The abstract explicitly focuses on cancer patients, which directly contradicts this criterion.",no,"While the abstract discusses bisphosphonates, it focuses on a broader range of medications including antiangiogenic agents and targeted therapy. It's not specifically focused on parenterally-administered bisphosphonates for osteoporosis.",maybe,No mention of control groups in the abstract.,no,The abstract does not specifically document or discuss any invasive dental procedures. It only mentions ONJ in general terms.,maybe,"The abstract discusses the evolution of terminology from BRONJ to MRONJ and mentions diagnostic criteria, but doesn't clearly define them.",no,"This appears to be a review article rather than a primary research study (RCT, cohort, or case-control).",maybe,The abstract does not mention any specific patient numbers or study size.,maybe,No follow-up period is mentioned in the abstract.,Exclude,"The abstract describes a review of medication-related osteonecrosis of the jaw, primarily focusing on cancer patients and various medications, which fundamentally conflicts with multiple screening criteria. Specifically, the paper fails to meet requirements for study design, population characteristics, and intervention focus, rendering it unsuitable for the intended research parameters. Critical deviations include the inclusion of cancer patients, lack of specific dental procedure documentation, and absence of a clear primary research methodology.",0.1
A Retrospective Data Analysis for the Risk Evaluation of the Development of Drug-Associated Jaw Necrosis through Dentoalveolar Interventions,"M. Buchbender, Charlotte Bauerschmitz, Sebastian Pirkl, M. Kesting, C. Schmitt",10.3390/ijerph19074339,https://doi.org/10.3390/ijerph19074339,International Journal of Environmental Research and Public Health,3,2022,no,"The study includes patients with both osteoporotic (36.52%) and metastatic (63.47%) conditions, which fails to meet the criterion of exclusively including osteoporosis patients.",no,"The study explicitly includes patients with metastatic diseases (63.47%), which directly violates the requirement for cancer-free participants.",maybe,"While the abstract mentions ""medication,"" it doesn't specifically state whether these are parenterally-administered bisphosphonates, which is a crucial missing detail.",no,"The abstract doesn't mention a control group of patients not receiving anti-resorptive medications, and all patients appear to be receiving some form of medication.",yes,"The study clearly documents invasive dental procedures, specifically tooth extraction (single and multiple) and osteotomy, which meets the requirement for reporting MRONJ incidence following specifically documented invasive dental procedures.",maybe,"While MRONJ is mentioned, the abstract doesn't explicitly state the diagnostic criteria used, which is an important missing detail.",yes,"The study is described as a retrospective analysis, which meets the criteria for acceptable study designs.",yes,"The study includes 115 patients, which exceeds the minimum requirement of 100 patients.",maybe,"The abstract does not explicitly mention the follow-up period, so there is uncertainty about whether the study includes a follow-up period of at least 6 months.",Include,"The study fails to meet key screening criteria due to a mixed patient population including cancer patients, absence of a control group, and unclear medication specifics. While demonstrating robust dental procedure documentation and adequate sample size, critical population and methodological requirements are not satisfied. Significant uncertainties exist regarding follow-up period, MRONJ diagnostic criteria, and intervention details.",2.5
Osteonecrosis and osteomyelitis of the jaw associated with tumour necrosis factor-alpha (TNF-α) inhibitors: a systematic review.,"Roberto Sacco, Roberto Sacco, Roberto Sacco, Sagar Shah, R. Leeson, V. Moraschini, C. Mourao, O. Akintola, A. Lalli",10.1016/j.bjoms.2019.09.023,https://doi.org/10.1016/j.bjoms.2019.09.023,British Journal of Oral and Maxillofacial Surgery,38,2019,no,"The study population includes patients with rheumatoid arthritis and Crohn's disease, not osteoporosis.",maybe,"The abstract doesn't explicitly state whether patients had cancer or not, though it mentions excluding patients with antiangiogenic agents.",no,"The study focuses on TNF-α inhibitors, not parenterally-administered bisphosphonates, which is a critical mismatch with the inclusion criteria.",no,The abstract doesn't mention a control group.,maybe,"The abstract mentions ""invasive surgery"" as a precipitating factor, but does not specifically document the types of dental procedures. This suggests the study lacks the required specificity in reporting the dental procedures.",maybe,"While the study discusses ONJ/OM, it doesn't explicitly state using established MRONJ diagnostic criteria.",no,"This is a systematic review of case reports, which doesn't match the required study designs (RCT, cohort, or case-control).",no,"The abstract only mentions six patients total, which falls well below the required 100 patients.",yes,"The abstract mentions a mean duration of 62.5 months of treatment before bony lesions developed, which exceeds the 6-month requirement.",Exclude,"The systematic review fails to meet multiple critical screening criteria, including insufficient patient size, wrong intervention type, and inappropriate study design. Specifically, the study focuses on TNF-α inhibitors in patients with rheumatoid arthritis and Crohn's disease, rather than bisphosphonates in osteoporosis patients, and includes only six cases instead of the required 100 patients. These fundamental differences render the study non-compliant with the established screening requirements.",0.1
Incidence of Medication-Related Osteonecrosis of the Jaw in Patients With Breast Cancer During a 20-Year Follow-Up: A Population-Based Multicenter Retrospective Study,"C. Brunner, M. Arvandi, Christian Marth, Daniel Egle, Florentina Baumgart, Miriam Emmelheinz, Benjamin Walch, Johanna Lercher, C. Iannetti, Ewald Wöll, Agnes Pechlaner, August Zabernigg, B. Volgger, Maria Castellan, Oliver Tibor Andraschofsky, Alice Markl, M. Hubalek, Michael Schnallinger, S. Puntscher, Uwe Siebert, S. Schönherr, L. Forer, E. Bruckmoser, J. Laimer",10.1200/JCO.24.00171,https://doi.org/10.1200/JCO.24.00171,Journal of Clinical Oncology,4,2024,no,"The study population consists of breast cancer patients with bone metastases, not patients with primary osteoporosis.",no,"The study specifically focuses on breast cancer patients, which directly contradicts this criterion requiring cancer-free participants.",no,"The study examines antiresorptive therapy including bisphosphonates, but primarily focuses on denosumab. While bisphosphonates are included, they are not specifically for osteoporosis treatment but rather for cancer-related bone metastases.",no,The abstract does not mention a control group of patients not receiving antiresorptive medications.,maybe,"The abstract does not specifically mention or document invasive dental procedures. While MRONJ is discussed, the dental triggers are not detailed. This is a significant limitation.",maybe,"While MRONJ is the focus of the study, the abstract does not explicitly state the diagnostic criteria used. This creates some uncertainty.",yes,"The study is described as a ""retrospective multicenter study,"" which meets the criterion for acceptable study designs.",yes,"The study clearly exceeds 100 patients, with 639 individuals included.",yes,"The study period spans 2000-2020 (20 years), and mentions time to MRONJ ranging from 4.6 to 8.4 years.",Exclude,"The study focuses on breast cancer patients with bone metastases, which fundamentally differs from the required osteoporosis patient population. Critical screening criteria were not met, including the absence of a control group, lack of specific dental procedure documentation, and primary focus on cancer-related treatments rather than osteoporosis interventions. Multiple key screening requirements were unambiguously not satisfied, rendering the study non-compliant with the established criteria.",1.4
"Medication-related osteonecrosis of the jaw: a narrative review of risk factors, diagnosis, and management","Jacob G. Thomas, A. Ouanounou",10.21037/fomm-21-106,https://doi.org/10.21037/fomm-21-106,Frontiers of Oral and Maxillofacial Medicine,4,2021,no,"The abstract mentions both osteoporosis and cancer patients, not exclusively osteoporosis patients.",no,"The paper explicitly includes cancer patients, failing this criterion.",no,"While the abstract mentions antiresorptive agents and osteoporosis, it's a broad review covering multiple medications and conditions, not specifically focused on parenterally-administered bisphosphonates.",no,"As a review article, it doesn't include a control group.",no,"The abstract mentions ""dentoalveolar surgery"" as a common initiating factor for MRONJ, but does not specifically document incidence following specific invasive dental procedures like tooth extraction, implant placement, periodontal surgery, oral surgery, or removable prosthesis.",no,"The abstract mentions that diagnosis is ""primarily based on clinical factors"" but doesn't specify established diagnostic criteria.",no,"This is explicitly a narrative review article, not a randomized controlled trial, cohort study, or case-control study.",no,"The abstract does not mention any specific subject size, as this is a narrative review rather than a primary research study.",no,No specific follow-up period is mentioned in the abstract.,Exclude,"This narrative review fails to meet multiple screening criteria, including the requirement for a primary research study design, specific dental procedure documentation, and an exclusive focus on osteoporosis patients without cancer. The abstract lacks critical elements such as a defined subject size, follow-up period, and control group, rendering it ineligible for inclusion based on the established screening requirements.",0.1
Medication Related Osteonecrosis of the Jaws,"Semih Özbayrak, Ö. Okumuş",-,-,-,0,2020,no,The abstract doesn't specify age restrictions and mentions multiple conditions beyond osteoporosis.,no,"The abstract explicitly mentions cancer patients (lung, prostate, breast carcinomas, multiple myeloma), indicating the study is not restricted to cancer-free patients.",maybe,"While the abstract discusses bisphosphonates, it mentions them in the context of multiple conditions (Paget's disease, fibrous dysplasia, osteogenesis imperfecta, carcinomas, multiple myeloma, and osteoporosis). It's not specifically focused on parenteral administration for osteoporosis.",maybe,No mention of control groups.,no,The abstract does not specifically mention or document any invasive dental procedures. It only generally discusses MRONJ as a condition.,maybe,"While MRONJ is mentioned and briefly described as ""bone destruction in the jaws,"" it doesn't clearly indicate use of established diagnostic criteria.",no,This appears to be a review article rather than a primary research study with any of the specified study designs.,maybe,The abstract does not mention any specific subject size or patient numbers.,maybe,No follow-up period is mentioned in the abstract.,Exclude,"The abstract fails to meet multiple critical screening criteria, including specific dental procedure documentation, study design requirements, and population restrictions. It appears to be a broad review article covering medication-related osteonecrosis across various conditions, rather than a focused research study meeting the predefined inclusion parameters. Consequently, the paper does not align with the specified screening criteria for inclusion.",1.4
Associated characteristics and treatment outcomes of medication-related osteonecrosis of the jaw in patients receiving denosumab or zoledronic acid for bone metastases,"H. Ikesue, Moe Mouri, H. Tomita, M. Hirabatake, M. Ikemura, Nobuyuki Muroi, S. Yamamoto, T. Takenobu, K. Tomii, M. Kawakita, Hironori Katoh, T. Ishikawa, H. Yasui, T. Hashida",10.1007/s00520-021-06018-x,https://doi.org/10.1007/s00520-021-06018-x,Supportive Care in Cancer,28,2021,no,"The study population consists of cancer patients with bone metastases, not patients with a primary diagnosis of osteoporosis.",no,"The study explicitly includes cancer patients, which directly contradicts the criterion that all study participants should be free from cancer or malignancies.",no,"The study examines denosumab and zoledronic acid for bone metastases, not parenterally-administered bisphosphonates for osteoporosis treatment, which is a critical mismatch with the screening criteria.",no,The study compares two treatment groups (denosumab vs. zoledronic acid) but does not include a control group not receiving anti-resorptive medications.,yes,"The study explicitly mentions tooth extraction and dental examinations, indicating that it reports on MRONJ incidence following invasive dental procedures. However, the study is not exclusively focused on invasive dental procedures.",maybe,"While MRONJ is discussed, the abstract does not explicitly state which diagnostic criteria were used.",yes,"The study is a retrospective cohort study, which meets the criteria for study design.",yes,"The study includes 374 patients, which exceeds the 100-patient requirement.",maybe,"The abstract does not explicitly state the follow-up period, and while the study covers a 4-year period (2012-2016), the individual patient follow-up duration is unclear.",Exclude,"The study focuses on cancer patients receiving bone-modifying agents, which fundamentally differs from the screening criteria targeting osteoporosis patients. Critical mismatches include the patient population, intervention type, and inclusion of cancer patients, rendering the study non-compliant with the specified screening requirements. Multiple key criteria were not met, leading to automatic exclusion from the systematic review.",0.1
Medication-related osteonecrosis of the jaw after dental clearance: Prevalence in an oncology center,"Saad Hajeri, Yasir Alturkistany",10.1016/j.sdentj.2022.06.004,https://doi.org/10.1016/j.sdentj.2022.06.004,Saudi Dental Journal,2,2022,maybe,"The abstract doesn't specify patient age range or primary diagnosis, and it appears to include patients receiving various medications for different conditions.",maybe,The abstract doesn't specify the cancer status of participants.,yes,"The study examines both IV and oral bisphosphonates, though it also includes antiangiogenic therapy, which partially meets the criterion.",maybe,The abstract doesn't clearly indicate whether there's a control group of patients not receiving anti-resorptive medications.,yes,"The study explicitly mentions dentoalveolar surgery and dental treatment, meeting this criterion.",yes,"The study uses established staging criteria (stage 0, 1, 2, 3), indicating clear diagnostic criteria.",yes,"The study is explicitly stated as a retrospective study, which meets the criteria.",yes,"The study includes 622 patients, well exceeding the minimum requirement of 100.",maybe,"The abstract doesn't explicitly mention the follow-up period, so there is significant uncertainty about whether this criterion is met.",Include,"A retrospective study examining medication-related osteonecrosis of the jaw with a large patient sample demonstrates clear documentation of dental procedures and MRONJ staging. However, significant uncertainties exist regarding follow-up period, control group composition, and precise patient population characteristics, which create potential challenges for comprehensive screening. The inclusion of antiangiogenic therapy alongside bisphosphonates further complicates strict adherence to predefined screening criteria.",3.2
Medication‐related osteonecrosis of the jaw – a current review,"F. Domah, Nirmal Shah, J. Domah, Raunaq Shah",10.1111/ORS.12329,https://doi.org/10.1111/ORS.12329,-,3,2018,no,The abstract doesn't specify the age range or primary diagnosis of the population being studied.,no,No information is provided about cancer status of participants.,no,"While the abstract discusses ""antiresorptive agents,"" it doesn't specifically focus on parenterally-administered bisphosphonates for osteoporosis treatment. It appears to be a broader review of various antiresorptive medications.",no,No control group is mentioned in the abstract.,no,The abstract does not specifically document or report MRONJ incidence following specific dental procedures. It appears to be a review of mechanisms and management rather than a primary study of procedures.,no,"While MRONJ is discussed, the abstract doesn't indicate whether it uses established diagnostic criteria.",no,"This appears to be a literature review rather than a primary research study with any of the specified designs (RCT, cohort, or case-control).",no,"The abstract does not mention any specific subject size. It refers to ""case series, case reports and expert body opinions"" but doesn't provide numbers.",no,No follow-up period is mentioned in the abstract.,Exclude,"The abstract represents a literature review on medication-related osteonecrosis of the jaw, lacking specific details about dental procedures, patient population, intervention specifics, and study design. Critical screening criteria such as subject size, follow-up period, control group, and precise diagnostic criteria are not addressed, rendering the paper unsuitable for systematic review inclusion. The document appears more focused on theoretical mechanisms and management strategies rather than presenting primary research data.",0.1
Medication-Related Osteonecrosis of the Jaw – 2022 Update,S. Ruggiero,-,-,-,221,2022,no,The abstract does not specify any particular patient population characteristics.,no,No information about cancer status is provided.,no,"While bisphosphonates are mentioned, this is in the context of general discussion rather than as a specific intervention being studied.",no,No control group is mentioned as this is not a primary research study.,no,The abstract does not specifically document any invasive dental procedures. It appears to be a position paper/guideline document rather than a primary research study.,no,"While MRONJ is discussed, this paper appears to be about management strategies and position statements rather than applying specific diagnostic criteria in a research context.",no,"This is clearly a position paper/guideline document, not a randomized controlled trial, cohort study, or case-control study.",no,No patient numbers are mentioned in the abstract.,no,No follow-up period is mentioned as this is not a primary research study.,Exclude,"This position paper on MRONJ management fails to meet multiple critical screening criteria, including lack of a defined patient population, absence of a control group, and no specific research design. The document appears to be a guideline update rather than a primary research study, rendering it ineligible for systematic review based on the established screening requirements.",0.1
Medication-Related Osteonecrosis of the Jaw: A Systematic Review and a Bioinformatic Analysis,"Galina Laputková, I. Talian, Vladimíra Schwartzová",10.3390/ijms242316745,https://doi.org/10.3390/ijms242316745,International Journal of Molecular Sciences,2,2023,maybe,The abstract does not specify patient age or primary diagnosis of osteoporosis.,maybe,No information is provided about cancer status of participants.,no,"While the abstract mentions ""anti-resorptive agents,"" it does not specifically focus on parenterally-administered bisphosphonates for osteoporosis treatment.",no,The abstract does not mention any control groups as this is a molecular review.,no,"The abstract does not specifically mention or document any invasive dental procedures. While it discusses MRONJ, it focuses on genetic and molecular mechanisms rather than clinical procedures.",maybe,"While MRONJ is the focus, the abstract does not mention specific diagnostic criteria.",no,"This is a systematic review of molecular studies, not a primary clinical study of the types specified in the criteria.",maybe,The abstract mentions analyzing 12 studies but does not specify the total number of patients included. This criterion cannot be verified from the abstract.,no,No follow-up period is mentioned as this is a molecular/genetic review rather than a clinical study.,Exclude,"This systematic review of molecular mechanisms fails to meet multiple critical screening criteria, including specific dental procedures, intervention type, and study design. The research focuses on genetic and molecular pathways of MRONJ rather than a clinical investigation of osteoporosis patients, rendering it incompatible with the predefined screening requirements. Consequently, the abstract does not qualify for inclusion in the systematic review.",0.1
