Title,Authors,DOI,DOI link,Venue,Citation count,Year,"population, indication","Reasoning for ""population, indication""",MRONJ latency,"Reasoning for ""MRONJ latency""",Control Group,"Reasoning for ""Control Group""",Procedure and Outcome,"Reasoning for ""Procedure and Outcome""",Study Design,"Reasoning for ""Study Design""",Outcome Documentation,"Reasoning for ""Outcome Documentation""","population, age","Reasoning for ""population, age""",subject size,"Reasoning for ""subject size""",intervention type,"Reasoning for ""intervention type""",diagnostic standard for MRONJ,"Reasoning for ""diagnostic standard for MRONJ""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Clinical considerations for medication-related osteonecrosis of the jaw: a comprehensive literature review,"Mampei Kawahara, S. Kuroshima, T. Sawase",10.1186/s40729-021-00323-0,https://doi.org/10.1186/s40729-021-00323-0,International Journal of Implant Dentistry,67,2021,no,"The abstract discusses both cancer patients and osteoporosis patients, indicating a mixed population, which fails to meet the criterion requiring exclusive focus on osteoporosis patients.",no,"The abstract does not document the time intervals between medication start, dental procedures, and MRONJ incidence.",no,"The abstract does not mention a control group, which is a significant limitation.",no,"While the abstract mentions dental treatment, it does not specifically report MRONJ incidence following the specified procedures.",no,"This is a literature review, not a primary research study of any of the specified designs, so it fails to meet the criterion.",no,The abstract does not provide specific follow-up periods or MRONJ incidence rates.,maybe,"The abstract does not explicitly state the age of the subjects, so this is unclear.",maybe,"The abstract does not mention the sample size, so this is unclear.",no,"While the abstract mentions oral bisphosphonates, it also discusses other medications including denosumab and angiogenesis inhibitors, which is broader than the criterion requires.",no,The abstract does not mention specific diagnostic standards for MRONJ.,Exclude,"This literature review fails to meet multiple screening criteria, including the requirement for a primary research study design and a focused population of osteoporosis patients. The abstract lacks specific details about diagnostic standards, follow-up periods, and MRONJ incidence rates, rendering it insufficient for the specified research parameters.",1.4
"Prevalence, Incidence Rate, and Risk Factors of Medication-Related Osteonecrosis of the Jaw in Patients With Osteoporosis and Cancer: A Nationwide Population-Based Study in Japan.","M. Ishimaru, S. Ono, K. Morita, H. Matsui, Y. Hagiwara, H. Yasunaga",10.1016/j.joms.2021.12.007,https://doi.org/10.1016/j.joms.2021.12.007,Journal of oral and maxillofacial surgery,33,2021,no,"The study includes both osteoporosis patients and cancer patients, which is a mixed population and violates the criterion.",no,"The abstract does not document the time intervals between medication start, dental procedures, and MRONJ incidence.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points are added for this criterion.",no,"The abstract mentions ""tooth extraction"" as a factor but does not specifically study MRONJ incidence following dental procedures. It appears to be a general risk factor analysis.",yes,"This is a retrospective cohort study, which meets the criterion.",maybe,"While the study documents MRONJ incidence, the follow-up period is not specified.",maybe,"While the study is a population-based study using national health insurance data, which typically covers adults, the age of the subjects is not explicitly stated, so the reasoning is uncertain.",yes,"The study includes 2,664,104 osteoporosis patients, which exceeds the 100-subject requirement.",no,"The abstract only mentions ""antiresorptive drugs"" generally, without specifying oral bisphosphonates, which is too broad and does not meet the criterion.",no,The abstract does not mention specific diagnostic standards for MRONJ.,Include,"The study fails key screening criteria due to a mixed patient population including cancer patients, non-specific intervention type, and lack of focus on dental procedures. While the research is a large retrospective cohort study with substantial patient numbers, it does not meet the precise requirements for the systematic review, particularly regarding population specificity and intervention details. Critical methodological elements such as diagnostic standards, MRONJ latency, and specific dental procedure outcomes are not sufficiently addressed.",2.5
"Location and Gender Differences in Osteonecrosis of the Jaws in Patients Treated with Antiresorptive and Antineoplastic Drugs Undergoing Dentoalveolar Surgical, Systematic Review with Meta-Analysis and Trial Sequential Analysis","M. Dioguardi, F. Spirito, M. Alovisi, R. Aiuto, Daniele Garcovich, V. Crincoli, A. Ballini, G. A. Caloro, L. Lo Muzio",10.3390/jcm12093299,https://doi.org/10.3390/jcm12093299,Journal of Clinical Medicine,5,2023,no,"The abstract mentions both osteoporosis and neoplastic diseases, indicating a mixed population, which fails to meet the criterion requiring exclusive focus on osteoporosis patients.",no,"The abstract does not document the time intervals between medication start, dental procedure, and MRONJ incidence.",no,"The abstract does not explicitly mention a control group, which is a significant limitation.",yes,"The abstract does discuss extraction procedures and MRONJ incidence, meeting this criterion.",no,"This is a systematic review and meta-analysis, not a primary study design specified in the criteria, which fails to meet the criterion.",maybe,"While MRONJ incidence is discussed, the follow-up period is not specified.",maybe,"The abstract does not specify the age range of the subjects, so this information is unclear.",maybe,"The abstract mentions analyzing 24 studies but does not specify the number of subjects in the medication group, so this information is unclear.",no,"The abstract discusses both oral bisphosphonates and monoclonal antibodies, not exclusively oral bisphosphonates, which fails to meet the criterion.",no,The abstract does not mention specific diagnostic standards for MRONJ.,Exclude,"The systematic review fails to meet multiple critical screening criteria, including exclusive focus on osteoporosis patients, specific intervention type, and primary study design. Mixed population, inclusion of non-bisphosphonate medications, and lack of key methodological details significantly compromise the study's alignment with the predefined screening requirements. The research does not provide sufficient evidence to satisfy the comprehensive screening criteria for MRONJ investigation.",1.4
Medication-Related Osteonecrosis of the Jaw: MASCC/ISOO/ASCO Clinical Practice Guideline.,"N. Yarom, C. Shapiro, D. Peterson, C. V. Van Poznak, Kari Bohlke, S. Ruggiero, C. Migliorati, Aliya A. Khan, A. Morrison, Holly Anderson, B. Murphy, D. Alston-Johnson, R. Mendes, B. Beadle, S. Jensen, D. Saunders",10.1200/JCO.19.01186,https://doi.org/10.1200/JCO.19.01186,Journal of Clinical Oncology,238,2019,no,"The abstract specifically focuses on cancer patients taking bone-modifying agents (BMAs), which explicitly violates the criterion requiring patients taking medication for osteoporosis, excluding cancer patients.",no,"The abstract does not document specific time intervals between medication start, dental procedures, and MRONJ incidence.",no,The abstract does not mention a control group of patients not taking anti-resorptive medications.,maybe,The abstract mentions dentoalveolar surgery but does not specifically report MRONJ incidence following specific dental procedures.,no,"The paper is a guideline document based on a systematic review of literature, including 10 RCTs. While it includes appropriate study designs, this is a secondary research paper rather than a primary research study.",no,"While the paper discusses MRONJ management, it does not clearly document MRONJ incidence with specific follow-up periods.",maybe,The abstract does not explicitly specify age requirements.,maybe,The abstract does not specify the number of subjects in the studies reviewed.,no,The abstract discusses bone-modifying agents (BMAs) broadly and does not specify oral bisphosphonates exclusively. It appears to include various types of BMAs for cancer treatment.,yes,"The abstract does provide diagnostic standards for MRONJ, including exposed bone, duration >8 weeks, and no radiation therapy.",Exclude,"The systematic review guidelines for medication-related osteonecrosis of the jaw (MRONJ) focus on cancer patients taking bone-modifying agents, which directly conflicts with the specified screening criteria requiring osteoporosis patients. Multiple critical screening requirements were not met, including population indication, intervention type, and study design, rendering the document unsuitable for inclusion in the systematic review.",0.1
Effectiveness of treatments for medication-related osteonecrosis of the jaw: A systematic review and meta-analysis.,"M. El-Rabbany, Adam Sgro, D. Lam, P. Shah, A. Azarpazhooh",10.1016/j.adaj.2017.04.002,https://doi.org/10.1016/j.adaj.2017.04.002,The Journal of the American Dental Association (1939),65,2017,maybe,"The abstract discusses MRONJ patients but does not specify whether they are exclusively osteoporosis patients or include cancer patients, so this criterion is unclear.",no,"The abstract does not document any time intervals between medication start, dental procedures, and MRONJ incidence, so this criterion is not met.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so this criterion is not met.",no,"The abstract does not specify any dental procedures leading to MRONJ, as it focuses on treatment of existing MRONJ rather than incidence after dental procedures, so this criterion is not met.",yes,"The abstract explicitly states it includes ""randomized controlled trials, nonrandomized controlled trials, and prospective cohort studies,"" which meets this criterion.",no,"While the study documents MRONJ outcomes, it focuses on treatment effectiveness rather than incidence after dental procedures, and the follow-up period is not specified, so this criterion is not met.",maybe,"The abstract does not specify the age of the subjects, so this criterion is unclear.",maybe,"The abstract mentions 13 studies with 76 participants in the surgical treatment analysis, but the individual study sizes are not specified, so this criterion is unclear.",maybe,"The abstract does not specify the type of bisphosphonate medication or whether it's oral or intravenous, only mentioning ""bisphosphonate drug holidays"" as a treatment option, so this criterion is unclear.",no,"The abstract does not mention any diagnostic standards for MRONJ, so this criterion is not met.",Exclude,"This meta-analysis focuses on MRONJ treatment effectiveness rather than incidence after dental procedures, failing to meet multiple critical screening criteria including specification of dental procedures, diagnostic standards, and patient population details. The study's primary aim of comparing treatment strategies diverges significantly from the required systematic review parameters, rendering it unsuitable for inclusion.",1.4
Medication-related Osteonecrosis of the Jaw: A Review,"Nouf A. AlDhalaan, Asma BaQais, Ahmad Al-Omar",10.7759/cureus.6944,https://doi.org/10.7759/cureus.6944,Cureus,75,2020,no,"While the abstract discusses osteoporosis patients, it also includes cancer patients and appears to be a general review rather than a specific study population, so it fails this criterion.",no,"No specific time intervals are mentioned, so no points were added for this criterion.",no,"The abstract does not mention any control group, so no points were added for this criterion.",no,"While MRONJ is discussed, the abstract doesn't specifically report incidence following the required dental procedures, so it fails this criterion.",no,"This appears to be a review article, not one of the required study designs (RCT, cohort, or case-control), so it fails this criterion.",no,"As a review article, it doesn't document specific MRONJ incidence or follow-up periods, so it fails this criterion.",maybe,"The abstract does not specify the age requirements of the study population, so the reasoning is uncertain.",no,"No specific subject numbers are mentioned as this appears to be a review article rather than an original research study, so it fails this criterion.",no,"While bisphosphonates are discussed, the paper appears to cover multiple medication types including denosumab and antiangiogenic drugs, not just oral bisphosphonates, so it fails this criterion.",maybe,"The abstract mentions that diagnostic criteria were developed by AAOMS, but doesn't specify the exact criteria used, so it partially meets this criterion.",Exclude,"This review article fails multiple critical screening criteria, including lack of a specific study design, undefined population parameters, and absence of detailed outcome documentation. The paper discusses medication-related osteonecrosis of the jaw broadly but does not meet the systematic review's requirements for a focused research study with clear methodological standards. Consequently, the abstract does not qualify for inclusion based on the established screening criteria.",0.1
"Medication-Related Osteonecrosis of the Jaw (MRONJ): A Review of Pathophysiology, Risk Factors, Preventive Measures and Treatment Strategies","Raed Alrowis, A. Aldawood, Mohammed F. Alotaibi, Essam Alnasser, Ibrahim M. Alsaif, Abdullah Aljaber, Z. Natto",10.1016/j.sdentj.2022.01.003,https://doi.org/10.1016/j.sdentj.2022.01.003,Saudi Dental Journal,34,2022,no,"The abstract mentions both osteoporosis and cancer patients, indicating a mixed population, which fails to meet the criterion requiring exclusive focus on osteoporosis patients.",maybe,"The abstract mentions timing considerations but doesn't document specific time intervals, so the criterion is only partially met.",no,"The abstract does not mention any control group, so no points were added for this criterion.",maybe,"While dental procedures are mentioned generally, the abstract doesn't specifically report MRONJ incidence following specific procedures, so the criterion is only partially met.",no,"This appears to be a literature review, not one of the required study designs (RCT, cohort, or case-control), so the criterion is not met.",no,"As a literature review, this paper doesn't directly document MRONJ incidence or follow-up periods, so the criterion is not met.",maybe,"The abstract does not explicitly specify age requirements, only mentioning ""people"" generally, so the reasoning is uncertain.",maybe,"The abstract does not mention any specific subject numbers, so the reasoning is uncertain.",maybe,"While bisphosphonates are mentioned, the abstract also discusses denosumab and doesn't specify oral administration exclusively, so the criterion is only partially met.",maybe,"The abstract mentions ""diagnostic criteria"" and ""diagnostic principles"" as topics covered, but doesn't specify them, so the criterion is only partially met.",Exclude,"This literature review fails to meet multiple critical screening criteria, including the requirement for an original research study design and a focused population of osteoporosis patients. The abstract lacks specific details about subject size, control groups, and precise MRONJ diagnostic standards, rendering it unsuitable for inclusion in the systematic review.",1.4
Medication-Related Osteonecrosis of the Jaw—2014 Update,"S. Ruggiero, T. Dodson, R. Goodday, T. Aghaloo, B. Mehrotra",-,-,-,1978,2014,no,"The abstract discusses both osteoporosis and cancer patients, and appears to be a mixed population review rather than focusing exclusively on osteoporosis patients.",no,"The abstract does not document specific time intervals between medication start, dental procedures, and MRONJ incidence.",no,"The abstract does not mention a control group, as this is a narrative review rather than an original research study.",no,"While the paper discusses various dental procedures, it's reviewing existing literature rather than reporting original outcomes.",no,"This is a narrative review, not one of the accepted study designs (RCT, cohort study, or case-control study).",no,"As a review paper, it does not have its own follow-up period or documented MRONJ incidence rates.",maybe,"The abstract does not explicitly specify age requirements, though it discusses adult conditions (osteoporosis).",no,"As a narrative review, this paper does not have its own subject group size.",no,"While the paper discusses bisphosphonates, it also covers other antiresorptive agents (denosumab) and includes both oral and parenteral administration.",no,"The abstract mentions various diagnostic techniques (CT, MRI, bone scanning) but does not specify a standard diagnostic criteria for MRONJ.",Exclude,"This narrative review fails multiple critical screening criteria, including lacking a control group, not focusing exclusively on osteoporosis patients, and not being an original research study with its own subject group. The paper discusses antiresorptive agents and osteonecrosis of the jaw across mixed populations, but does not meet the specific methodological requirements for inclusion in a systematic review. Consequently, the paper would be excluded based on the predefined screening criteria.",0.1
The Frequency of Medication-related Osteonecrosis of the Jaw and its Associated Risk Factors.,T. Dodson,10.1016/j.coms.2015.06.003,https://doi.org/10.1016/j.coms.2015.06.003,Oral and Maxillofacial Surgery Clinics of North America,92,2015,no,"The abstract discusses both cancer and osteoporosis patients, indicating a mixed population, which explicitly violates this criterion.",no,The abstract does not mention any time intervals related to MRONJ latency.,no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points are added for this criterion.",no,The abstract does not specify any dental procedures.,no,"This appears to be a review article rather than a primary research study, which violates the study design criterion.",no,"While MRONJ incidence is discussed generally, there is no mention of the follow-up period or specific documentation of incidence after dental treatment.",maybe,"The abstract does not specify the age requirements for the study population, so the reasoning for this criterion is uncertain.",maybe,"The abstract does not mention the sample size, so the reasoning for this criterion is uncertain.",no,"The abstract mentions both oral and intravenous bisphosphonates, and also includes denosumab (a non-bisphosphonate), which violates the criterion of only including oral bisphosphonates.",no,The abstract does not mention the diagnostic standards for MRONJ.,Exclude,"The abstract describes a review article that fails multiple critical screening criteria, including mixed patient populations, inclusion of non-oral bisphosphonates, and lack of specific dental procedure documentation. Multiple key requirements for systematic review inclusion are not met, rendering the study unsuitable for further analysis. The paper's broad scope and review nature disqualify it from meeting the precise methodological standards required.",0.1
Collagen telopeptide (serum CTX) and its relationship with the size and number of lesions in osteonecrosis of the jaws in cancer patients on intravenous bisphosphonates.,"Yong-Dae Kwon, D. Kim",10.1016/j.oraloncology.2008.11.010,https://doi.org/10.1016/j.oraloncology.2008.11.010,Oral Oncology,63,2009,yes,"The study specifically focuses on osteoporotic patients taking anti-resorptive medications, excluding cancer patients, which meets the population indication requirement.",maybe,"The abstract mentions ""mean duration of BPs intake was 50.4 ± 19 months"" but does not clearly document the time interval between medication start and dental procedure, or between procedure and MRONJ incidence.",no,"The abstract does not mention a control group, which is a requirement for this criterion. Since this is a systematic review rather than a primary study, it does not include a control group of patients not taking anti-resorptive medications.",yes,"The abstract mentions extraction and dentoalveolar surgery as preceding events, which meets the requirement of reporting MRONJ incidence following specific dental procedures.",no,"This is a systematic review, not a primary study of any of the specified designs (randomized controlled trial, prospective cohort study, retrospective cohort study, or case-control study).",maybe,"While MRONJ incidence is documented, the follow-up period is not specified in the abstract.",yes,"The mean age of the subjects is 69.7 ± 5.2 years, which meets the requirement of being over 18 years old.",yes,"The review includes 680 MRONJ cases, which is well above the 100-subject requirement for the medication group.",maybe,"The abstract mentions that ""Oral route of administration was noted in 86.7% of the patients"" and specifically mentions Alendronate (a bisphosphonate). However, it's not clear if all cases were exclusively oral bisphosphonates.",no,The abstract does not mention specific diagnostic standards for MRONJ.,Exclude,"A systematic review of medication-related osteonecrosis of the jaw in osteoporotic patients reveals significant insights into MRONJ development, with a mean patient age of 69.7 years and predominantly female subjects. While the study includes 680 MRONJ cases and documents dental procedures preceding MRONJ, it fails to meet several critical screening criteria, including lack of a control group, unclear diagnostic standards, and being a systematic review rather than a primary research study.",1.4
Bisphosphonate and Medication-Related Osteonecrosis of the Jaw: A Review,"T. Mücke, C. Krestan, D. Mitchell, J. Kirschke, A. Wutzl",10.1055/s-0036-1592367,https://doi.org/10.1055/s-0036-1592367,Seminars in Musculoskeletal Radiology,66,2016,no,"The abstract discusses both cancer patients and osteoporosis patients, which violates the criterion of the research specifying that its subject is chosen from patients taking medication for osteoporosis, excluding cancer patients, and excluding research with mixed populations.",no,"The abstract does not document the time intervals between medication start, dental procedures, and MRONJ incidence, so no points are added for this criterion.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points are added for this criterion.",no,"The abstract mentions dental procedures and implants, but does not report specific MRONJ incidence following these procedures, so the reasoning for this criterion is that it fails.",no,"This appears to be a review article rather than a primary research study, as it discusses general information about MRONJ and its management, which violates the criterion of the study design being a randomized controlled trial, prospective cohort study, retrospective cohort study, or case-control study.",no,"While the abstract discusses MRONJ, it does not present specific incidence data or follow-up periods, so the reasoning for this criterion is that it fails.",maybe,"The abstract does not explicitly state the age of the subjects, so the reasoning for this criterion is uncertain.",maybe,"The abstract does not mention the number of subjects studied, so the reasoning for this criterion is uncertain.",no,"The abstract mentions both bisphosphonates and denosumab, not exclusively oral bisphosphonates, which violates the criterion of the study only including subjects that are taking oral bisphosphonate medication for osteoporosis treatment.",no,"The abstract does not mention specific diagnostic standards for MRONJ, so the reasoning for this criterion is that it fails.",Exclude,"The abstract fails multiple critical screening criteria, including having a mixed patient population, not exclusively studying oral bisphosphonates, and lacking a primary research design. Key methodological requirements such as specific diagnostic standards, precise outcome documentation, and clear subject selection parameters are not met. Consequently, the paper does not qualify for inclusion in the systematic review.",0.1
